구분,지역,HUB_NICKNAME,제어기_장치수,총가동시간_시간_4월,장비당_일평균가동시간_시간_4월,총가동시간_시간_5월,장비당_일평균가동시간_시간_5월,총가동시간_증감,장비당_일평균가동시간_증감
전국,진주,지역센터_진주_사무실,2,58.3,1.32,98.7,2.76,40.4,1.44
전국,서울6층,본사_서울6층_사무실,4,245.42,2.79,437.67,6.08,192.25,3.29
전국,충북,지역센터_충북_교육실,1,22.1,1.0,52.4,2.38,30.3,1.38
전국,광주,가치만드소_광주_작업장,2,71.2,1.15,98.5,1.59,27.3,0.44
전국,아산,가치만드소_아산_사무실,2,44.8,0.72,68.9,1.11,24.1,0.39
전국,부천,지역센터_부천_사무실,2,80.1,1.29,103.2,1.67,23.1,0.38
