구분,지역,HUB_NICKNAME,장치수,총가동시간_시간_6월,장비당_일평균가동시간_시간_6월,총가동시간_시간_7월,장비당_일평균가동시간_시간_7월,총가동시간_증감,장비당_일평균가동시간_증감
본사,서울6층,본사_서울6층_사무실,4,63.33,0.75,191.5,2.18,128.17,1.43
본사,서울7층,본사_서울7층_회의실,4,38.42,0.56,136,1.55,97.58,0.99
본사,서울7층,본사_서울7층_본부장실,2,8.17,0.19,41.42,0.94,33.25,0.75
본사,서울_B1층,본사_서울_ B1층,1,0.08,0.01,0.42,0.02,0.34,0.01
본사,서울별관,본사_서울별관,1,0,0,0,0,0,0
본사,서울6층,본사_서울6층_이사장실,2,23.58,0.56,14,0.32,-9.58,-0.24
본사,서울3층,본사_서울3층_회의실,1,8.42,0.4,0,0,-8.42,-0.4
본사,서울_1층,본사_서울_1층,2,226.08,5.38,181.92,4.79,-44.16,-0.59
본사,서울_2층,본사_서울_2층,3,69.33,1.44,29.5,0.45,-39.83,-0.99
