구분,지역,HUB_NICKNAME,장치수,총가동시간_시간_6월,장비당_일평균가동시간_시간_6월,총가동시간_시간_7월,장비당_일평균가동시간_시간_7월,총가동시간_증감,장비당_일평균가동시간_증감
본사,서울7층,본사_서울7층_회의실,4,457.5,6.63,699.33,7.95,241.83,1.32
본사,서울_1층,본사_서울_1층,2,217.08,5.17,222.25,5.85,5.17,0.68
본사,서울_B1층,본사_서울_ B1층,1,0.5,0.08,3.58,0.16,3.08,0.08
본사,서울7층,본사_서울7층_본부장실,2,177.75,4.23,188.58,4.29,10.83,0.06
본사,서울6층,본사_서울6층_사무실,4,803.67,9.57,819,9.31,15.33,-0.26
본사,서울별관,본사_서울별관,1,10.75,0.51,4.25,0.19,-6.5,-0.32
본사,서울_2층,본사_서울_2층,3,195.75,4.08,243,3.68,47.25,-0.4
본사,서울6층,본사_서울6층_이사장실,2,119.42,2.84,97.75,2.22,-21.67,-0.62
본사,서울3층,본사_서울3층_회의실,1,55.83,2.66,38.17,1.73,-17.66,-0.93
