구분,지역,HUB_NICKNAME,제어기_장치수,총가동시간_시간_4월,장비당_일평균가동시간_시간_4월,총가동시간_시간_5월,장비당_일평균가동시간_시간_5월,총가동시간_증감,장비당_일평균가동시간_증감
전국,서울6층,본사_서울6층_사무실,4,30.83,0.35,100.75,1.4,69.92,1.05
전국,진주,지역센터_진주_사무실,2,8.2,0.19,22.4,0.52,14.2,0.33
전국,광주,가치만드소_광주_작업장,2,5.1,0.08,14.6,0.24,9.5,0.16
전국,충북,지역센터_충북_교육실,1,3.4,0.15,10.2,0.46,6.8,0.31
전국,아산,가치만드소_아산_작업장,2,4.8,0.08,10.9,0.18,6.1,0.1
