공간,구간정렬,분석 구간,6월 평균 가동시간,7월 평균 가동시간,그래프 표시 문구
1층 로비,1,22~06시 전체,4.11,4.08,▼ 0.73%
1층 로비,2,22~00시,1.12,0.89,▼ 20.54%
1층 로비,3,00~02시,0.91,0.92,▲ 1.10%
1층 로비,4,02~04시,0.91,0.92,▲ 1.10%
1층 로비,5,04~06시,1.17,1.35,▲ 15.38%
1층 안내센터,1,22~06시 전체,1.57,0.82,▼ 47.77%
1층 안내센터,2,22~00시,0.44,0.57,▲ 29.55%
1층 안내센터,3,00~02시,0.45,0.07,▼ 84.44%
1층 안내센터,4,02~04시,0.45,0.06,▼ 86.67%
1층 안내센터,5,04~06시,0.23,0.12,▼ 47.83%
,,,,,
