구분,지역,HUB_NICKNAME,장치수_5월,총가동시간_시간_5월,장비당_일평균가동시간_시간_5월,장치수_6월,총가동시간_시간_6월,장비당_일평균가동시간_시간_6월,총가동시간_증감,장비당_일평균가동시간_증감
본사,서울_1층,본사_서울_1층,2,26.42,0.73,2,217.08,5.17,190.66,4.44
본사,서울6층,본사_서울6층_사무실,4,437.67,6.08,4,803.67,9.57,366.0,3.49
본사,서울7층,본사_서울7층_본부장실,2,56.67,1.57,2,177.75,4.23,121.08,2.66
본사,서울7층,본사_서울7층_회의실,4,316.75,4.66,4,457.5,6.63,140.75,1.97
본사,서울6층,본사_서울6층_이사장실,2,41.67,1.16,2,119.42,2.84,77.75,1.68
본사,서울_2층,본사_서울_2층,2,114.67,3.19,3,195.75,4.08,81.08,0.89
본사,서울별관,본사_서울별관,1,0.08,0.0,1,10.75,0.51,10.67,0.51
본사,서울_B1층,본사_서울_ B1층,0,0.0,0.0,1,0.5,0.08,0.5,0.08
본사,서울3층,본사_서울3층_회의실,1,68.92,3.83,1,55.83,2.66,-13.09,-1.17
